Date,Alphabet Inc- A shares (GOOGL),Amazon.com Inc (AMZN),Facebook Inc (FB),Microsoft Corp (MSFT),TESLA Inc.,Morgan Stanley (MS),Ferrari N.V. (RACE.MI),Assicurazioni Generali S.p.A. (G.MI),Juventus Football Club S.p.A. (JUVE.MI),Piaggio & C. SpA (PIA.MI),Toscana Aeroporti S.p.A. (TYA.MI),Valsoia S.p.A. (VLS.MI),Bayer Aktiengesellschaft (BAYN.DE),Ryanair Holdings plc (RY4C.IR),Crdit Agricole S.A. (ACA.PA),"Cisco Systems, Inc. (CSCO)"
4-Oct-18,1025.6519,1663.7927,138.4156,95.67108,49.11509,38.5925,114.4991,13.4905,1.2166,1.756,13.5622,13.4012,68.58023,11.8,11.851,39.636
5-Oct-18,1013.9103,1640.5946,136.5939,94.76633,45.48501,38.0296,113.6134,13.4405,1.0959,1.7168,13.5142,13.1677,68.09682,11.865,11.7874,39.2881
8-Oct-18,1003.1764,1618.055,136.4709,93.6478,43.49018,38.2342,110.858,13.1404,1.0499,1.6634,13.1309,12.7942,68.1789,12.0,11.5761,38.775
9-Oct-18,996.30946,1627.1972,137.3746,95.07398,45.72773,37.6279,110.5627,13.1177,1.0462,1.6759,13.3226,12.6541,68.36131999999999,11.74,11.664,38.8465
10-Oct-18,949.13077,1525.3825,131.5553,89.80759,44.6478,36.332,101.5583,13.1723,0.98726,1.6661,13.2746,12.7942,68.41605,11.41,11.6995,37.2834
11-Oct-18,945.72613,1490.7711,132.9621,89.39093000000003,43.7392,35.3308,99.2949,12.9858,1.0066,1.6109,12.7954,12.4206,70.52299000000002,11.435,11.4526,35.9671
12-Oct-18,966.77955,1543.177,132.6438,92.02462,44.65404,35.1083,98.95046,12.8858,0.95134,1.5904,13.0829,12.1404,69.41022,11.44,11.3703,37.0798
15-Oct-18,954.3819,1524.4538,132.9022,90.67589,44.9454,35.2595,97.5629,12.8585,0.98173,1.6109,13.2267,12.0471,71.20705,11.375,11.3291,36.3587
16-Oct-18,978.18783,1571.1713,137.0748,93.28182,47.75603,37.1597,104.0185,13.0131,1.0591,1.6296,13.2267,12.3272,71.39859,11.75,11.3478,37.1914
17-Oct-18,974.13623,1582.4498,137.7245,93.10385,46.95869,38.1978,100.525,12.9449,0.96884,1.5887,13.2267,12.1404,70.5777,11.58,11.374,37.3152
18-Oct-18,954.63299,1539.6414,134.703,91.83575,45.89396,37.4999,98.50762,12.7403,0.96239,1.5931,13.1788,12.1871,71.52628,11.67,11.3329,37.1642
19-Oct-18,964.3805,1539.2932,134.4241,92.2991,45.37522,37.9525,99.98376,12.7767,0.93384,1.5308,13.1788,11.6268,70.76924,11.51,11.1233,37.1983
22-Oct-18,965.61353,1554.6329,134.4806,92.72277,45.34527,36.7229,99.09808,12.7358,0.91911,1.5468,13.2746,11.7202,69.81155,11.98,10.9999,37.3815
23-Oct-18,972.20154,1542.3063,134.6281,91.76023,51.29801,36.374,96.83466,12.5721,0.93292,1.5397,13.2746,11.6735,63.18063000000001,12.38,10.7997,37.2383
24-Oct-18,921.38601,1450.517,127.2885,86.81409000000002,50.29133,35.5162,97.20863,12.5039,0.85372,1.6047,13.2267,11.7669,62.26854,12.3,10.5696,36.1149
25-Oct-18,968.12422,1563.4085,132.4209,92.48348,55.24218000000001,36.6177,99.59013,12.7721,0.8781200000000001,1.7257,12.9392,11.6735,60.40788000000001,12.2,10.6276,37.5037
26-Oct-18,952.50777,1443.8656,127.7657,91.51097,58.1656,36.2089,99.39331,12.6312,0.84129,1.6821,12.6996,11.907,60.33491,12.275,10.4499,36.5661
29-Oct-18,907.75821,1350.044,124.6541,88.68741,58.75211,36.1262,99.44251,12.904000000000002,0.87582,1.6812,13.035,11.907,61.91283000000001,12.24,10.5883,36.1609
30-Oct-18,922.55046,1345.2847,128.5317,88.76061,57.99838,36.9027,99.88535,12.8813,0.8560200000000001,1.6625,13.035,11.6268,60.82744,12.075,10.4181,36.8442
31-Oct-18,961.17165,1408.39,133.7786,91.63633,59.45871,37.9642,101.8535,12.9858,0.8624700000000001,1.683,13.035,11.907,61.82162,11.94,10.5958,37.9106
1-Nov-18,959.62602,1471.7453,134.0939,91.11092,60.8446,38.2554,103.6249,13.0086,0.8712200000000001,1.6723,13.1309,11.6735,63.48163,12.365,10.7267,37.9268
2-Nov-18,939.63233,1460.5697,131.8479,90.62398,60.75615,38.0145,102.5916,13.0813,0.93937,1.6403,13.2267,11.6268,63.79174,12.77,10.839,37.4987
5-Nov-18,926.27637,1428.1992,130.4489,91.82246,59.90751,37.926,101.5091,13.0268,0.9891,1.659,13.4184,11.1132,64.01064000000001,12.59,10.8091,38.062
6-Nov-18,937.15714,1439.4301,131.3774,91.87808,59.76735,37.7923,99.3441,12.9858,1.0895,1.6314,13.8976,10.9264,63.84647,12.42,10.7642,38.3073
7-Nov-18,968.86744,1534.7191,132.4735,95.28088,60.87507,38.4418,99.59013,13.0722,1.0886,1.659,13.8976,11.1599,65.25109,12.89,10.6744,39.3724
8-Nov-18,957.34149,1534.8092,129.3241,95.13918,61.46548000000001,38.3083,99.2949,13.0813,1.0223,1.6376,13.8018,11.0665,64.50317,12.86,10.7548,39.8317
9-Nov-18,947.37881,1506.3044,127.5111,93.82182,61.6638,37.9486,96.36231,13.1268,1.0526,1.6438,13.7059,11.0665,64.75856,12.97,10.6239,38.9618
12-Nov-18,926.58473,1445.3383,124.9886,91.86051,58.50404,36.7611,93.82334,12.9949,0.99831,1.602,13.5142,10.7863,62.57866,12.68,10.4312,37.874
13-Nov-18,932.90293,1452.0677,126.5508,92.67021,60.30749,37.5228,96.44103,13.0859,0.99002,1.6287,13.8018,11.1599,60.78184,12.78,10.5453,37.7644
14-Nov-18,932.33334,1413.6532,127.5021,90.72801,60.82473,36.5726,96.44103,13.0404,1.002,1.6349,13.7059,11.2533,58.82996,12.6,10.4237,36.8481
